associated_entity_id,media_id,productattributeid,shortdesc,image_priority,media_type_id,entity_type_id,lastupdate,processed
389843,389843,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389842,389842,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389841,389841,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389840,389840,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389839,389839,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389838,389838,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389837,389837,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389836,389836,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389835,389835,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389834,389834,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389833,389833,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389832,389832,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389831,389831,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389830,389830,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389829,389829,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389828,389828,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389827,389827,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389826,389826,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389825,389825,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389824,389824,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389823,389823,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389822,389822,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389821,389821,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389820,389820,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389819,389819,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389818,389818,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389817,389817,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389816,389816,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389815,389815,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389814,389814,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389813,389813,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389812,389812,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389811,389811,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389810,389810,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389809,389809,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389808,389808,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
389807,389807,NULL,NULL,1,front-label,published-products-www,2018-01-10 08:00:02.587,0
